Timestamp,AQI,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,Temperature,Humidity,WindSpeed
2020-11-25 06:00:00,5.0,988.01,0.05,14.91,62.94,5.72,205.91,224.15,4.18,25.6,42,2.2
2020-11-25 07:00:00,5.0,1134.87,1.59,20.74,64.37,8.82,218.77,241.89,7.47,26.5,39,1.9
2020-11-25 08:00:00,5.0,1214.98,3.63,23.31,87.98,11.92,229.0,254.92,9.5,27.0,37,3.7
2020-11-25 09:00:00,5.0,881.2,1.13,12.0,174.52,18.6,197.06,211.68,7.47,27.1,35,5.5
2020-11-25 10:00:00,5.0,854.49,1.01,10.54,197.41,22.65,194.95,208.99,8.04,26.6,36,6.8
2020-11-25 11:00:00,5.0,841.14,0.8,9.0,220.3,25.03,195.99,210.05,8.61,23.6,51,6.2
2020-11-25 12:00:00,5.0,647.54,0.61,6.43,203.13,22.41,131.81,141.06,7.03,21.2,57,6.4
2020-11-25 13:00:00,5.0,574.11,0.55,6.0,200.27,21.7,100.95,108.58,6.84,21.1,56,8.2
2020-11-25 14:00:00,5.0,560.76,0.48,6.0,194.55,19.55,88.3,95.4,6.59,20.2,59,10.3
2020-11-25 15:00:00,5.0,720.98,1.05,15.77,158.79,16.69,92.89,104.42,8.36,19.3,65,10.7
2020-11-25 16:00:00,5.0,961.3,0.84,31.19,108.72,14.78,106.89,125.27,10.51,18.4,70,10.7
2020-11-25 17:00:00,5.0,1161.58,0.02,45.24,66.52,13.47,118.54,142.25,11.91,17.7,73,10.7
2020-11-25 18:00:00,5.0,1268.39,0.0,48.67,47.21,12.16,129.81,157.41,13.3,17.1,76,9.6
2020-11-25 19:00:00,5.0,1308.44,0.0,43.87,43.27,11.44,139.49,169.34,14.44,16.5,80,7.6
2020-11-25 20:00:00,5.0,1268.39,0.0,36.33,50.78,10.25,145.8,174.18,14.44,16.0,83,7.6
2020-11-25 21:00:00,5.0,1001.36,0.0,20.22,92.98,9.06,147.84,167.56,11.91,15.7,84,9.0
2020-11-25 22:00:00,5.0,1014.71,0.0,19.02,92.98,8.23,159.52,179.68,9.63,15.6,82,10.1
2020-11-25 23:00:00,5.0,1014.71,0.0,17.99,87.26,6.97,167.53,187.44,6.52,15.4,81,10.8
2020-11-26 00:00:00,5.0,988.01,0.0,16.11,81.54,5.54,169.92,188.9,4.12,14.7,88,6.8
2020-11-26 01:00:00,5.0,961.3,0.0,13.37,76.53,4.77,172.91,190.7,3.07,15.4,84,6.9
2020-11-26 02:00:00,5.0,947.95,0.0,10.97,73.67,4.17,175.87,192.25,2.41,18.0,73,8.6
2020-11-26 03:00:00,5.0,934.6,0.0,9.25,71.53,3.73,179.04,194.26,2.12,20.7,63,5.8
2020-11-26 04:00:00,5.0,921.25,0.0,8.74,68.67,3.67,182.27,197.15,2.12,22.6,56,5.2
2020-11-26 05:00:00,5.0,934.6,0.0,9.43,65.09,3.87,185.6,200.86,2.31,24.4,48,6.8
2020-11-26 06:00:00,5.0,974.66,0.0,12.17,62.94,4.95,186.23,202.69,3.04,25.2,43,7.8
2020-11-26 07:00:00,5.0,1068.12,0.24,18.68,60.08,7.21,186.42,206.39,5.26,25.9,40,7.1
2020-11-26 08:00:00,5.0,1108.17,1.41,22.28,67.95,9.78,181.59,203.89,6.97,26.3,37,6.7
2020-11-26 09:00:00,5.0,767.71,1.08,12.51,107.29,15.97,131.62,145.54,3.2,26.2,37,5.7
